Title,Genre
Alice's Adventures in Wonderland,Fantasy
Treasure Island,Fantasy
Gulliver's Travels,Fantasy
The Prince,Fantasy
Through the Looking-Glass,Fantasy
The Wonderful Wizard of Oz,Fantasy
Five Children and It,Fantasy
The Lost World,Fantasy
A Midsummer Night's Dream,Fantasy
Alice's Adventures in Wonderland / Through the Looking Glass,Fantasy
The Hobbit,Fantasy
Nineteen Eighty-Four,Fantasy
Le avventure di Pinocchio,Fantasy
The Enchanted Castle,Fantasy
Peter Pan,Fantasy
Le Tour du Monde en Quatre-Vingts Jours,Fantasy
The Story of the Amulet,Fantasy
Phantastes,Fantasy
The Phoenix and the Carpet,Fantasy
The Marvelous Land of Oz,Fantasy
Le petit prince,Fantasy
Ozma of Oz,Fantasy
Harry Potter and the Philosopher's Stone,Fantasy
Dorothy and the Wizard in Oz,Fantasy
The Emerald City of Oz,Fantasy
The Road to Oz,Fantasy
The Magic City,Fantasy
The fellowship of the ring,Fantasy
The Lost Princess of Oz,Fantasy
Tik-Tok of Oz,Fantasy
The Patchwork Girl of Oz,Fantasy
The Two Towers,Fantasy
The Sea Fairies,Fantasy
The Scarecrow of Oz,Fantasy
Harry Potter and the Chamber of Secrets,Fantasy
The Return of the King,Fantasy
The Tin Woodman of Oz,Fantasy
The Magic of Oz,Fantasy
Sky Island,Fantasy
Rinkitink in Oz,Fantasy
Harry Potter and the Prisoner of Azkaban,Fantasy
Glinda of Oz,Fantasy
The Secret Agent,Fantasy
Мастер и Маргарита,Fantasy
The Story of Doctor Dolittle,Fantasy
"News from Nowhere, or, An epoch of rest",Fantasy
Harry Potter and the Goblet of Fire,Fantasy
Charlie and the Chocolate Factory,Fantasy
A Princess of Mars,Fantasy
The Princess and the Goblin,Fantasy
Cien años de soledad,Fantasy
Harry Potter and the Order of the Phoenix,Fantasy
The wood beyond the world,Fantasy
The water-babies,Fantasy
Sylvie and Bruno,Fantasy
The Wind in the Willows,Fantasy
Jurgen,Fantasy
The Horse and His Boy,Fantasy
Peter Pan in Kensington Gardens,Fantasy
The Magician's Nephew,Fantasy
"The Lion, the Witch and the Wardrobe",Fantasy
Wet Magic (Books of Wonder),Fantasy
Charlotte's Web,Fantasy
James and the Giant Peach,Fantasy
The Silmarillion,Fantasy
Prince Caspian,Fantasy
The Enchanted Island of Yew,Fantasy
Northern Lights,Fantasy
The BFG,Fantasy
Harry Potter and the Half-Blood Prince,Fantasy
Lost Horizon,Fantasy
Where the Wild Things Are,Fantasy
Harry Potter and the Deathly Hallows,Fantasy
The Well at the World's End,Fantasy
The Silver Chair,Fantasy
The Voyages of Doctor Dolittle,Fantasy
Brood of the Witch-Queen,Fantasy
Der Kleine Prinz (German),Fantasy
A strange manuscript found in a copper cylinder,Fantasy
"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Fantasy
The Last Battle,Fantasy
The Subtle Knife,Fantasy
Bridge to Terabithia,Fantasy
The Voyage of the Dawn Treader,Fantasy
The Master Key,Fantasy
The Complete Life and Adventures of Santa Claus,Fantasy
The Gunslinger,Fantasy
Artemis Fowl,Fantasy
The Colour of Magic,Fantasy
New Moon,Fantasy
A Game of Thrones,Fantasy
The Cat in the Hat,Fantasy
Hänsel und Gretel,Fantasy
Coraline,Fantasy
Catching Fire,Fantasy
