Title,Category
A Tale of Two Cities (Oxford World's Classics),"Fiction , Classics"
Parrot in the Oven: Mi vida (Cover May Vary),"Young Adult Fiction , Classics"
The Portrait of a Lady (Oxford World's Classics),"Fiction , Classics"
Tom Brown's Schooldays (Oxford World's Classics),"Juvenile Fiction , Classics"
Germinal (Oxford World's Classics),"Fiction , Classics"
The Silver Chair (Narnia),"Fiction , Classics"
While Mrs. Coverlet Was Away,"Juvenile Fiction , Classics"
Great Expectations (Oxford World's Classics),"Fiction , Classics"
"Tales of the Sea: Lord Jim, Typhoon, Children of the Sea, Amy Foster and Youth","Fiction , Classics"
Jane Eyre (Wordsworth Classics),"Fiction , Classics"
Hard Times (Oxford World's Classics),"Fiction , Classics"
Read & Listen: Pinocchio (DK Read & Listen),"Juvenile Fiction , Classics"
Black Beauty Promo (Puffin Classics),"Juvenile Fiction , Classics"
The Scarlet Letter: The American Classic,"Fiction , Classics"
Five Great Short Stories (Dover Thrift Editions),"Fiction , Classics"
The Reader,"Fiction , Classics"
The Adventures of Tom Sawyer (Penguin Classics),"Fiction , Classics"
Delta Wedding (A Harvest/Hbj Book),"Fiction , Classics"
The Mambo Kings Play Songs of Love,"Fiction , Classics"
Adventures of Huckleberry Finn,"Juvenile Fiction , Classics"
Make Way for Ducklings,"Juvenile Fiction , Classics"
David Copperfield (Barnes & Noble Classics),"Fiction , Classics"
Tom Jones (Wordsworth Classics),"Fiction , Classics"
The Borrowers Avenged,"Juvenile Fiction , Classics"
Gulliver's Travels (Wordsworth Classics),"Fiction , Classics"
Les Miserables Volume Two (Wordsworth Classics),"Fiction , Classics"
That Man: An Insider's Portrait of Franklin D. Roosevelt,"Fiction , Classics"
Lord Jim (Wordsworth Classics),"Fiction , Classics"
Sons and Lovers (Wordsworth Classics),"Fiction , Classics"
Silas Marner: The Weaver of Raveloe (Modern Library Classics),"Fiction , Classics"
Washington Square (Penguin Classics),"Fiction , Classics"
The Swiss Family Robinson (Puffin Classics),"Young Adult Fiction , Classics"
Last of the Mohicans (Wordsworth Classics),"Fiction , Classics"
The Borrowers Afloat,"Juvenile Fiction , Classics"
Mansfield Park (Wordsworth Classics),"Fiction , Classics"
Tess of the D'Urbervilles (Wordsworth Classics),"Fiction , Classics"
Washington Square,"Fiction , Classics"
Paradise Postponed,"Fiction , Classics"
Raggedy Ann and Rags,"Juvenile Fiction , Classics"
Uncle Tom's Cabin (Penguin American Library),"Fiction , Classics"
Call of the Wild (Puffin Classics),"Juvenile Fiction , Classics"
True at First Light: A Fictional Memoir,"Fiction , Classics"
The Red Pony (Penguin Great Books of the 20th Century),"Fiction , Classics"
Home for a Bunny (Big Little Golden Book),"Juvenile Fiction , Classics"
Vanity Fair,"Fiction , Classics"
A Passage to India,"Fiction , Classics"
Jane Eyre (Treasury of Illustrated Classics),"Juvenile Fiction , Classics"
Le Petit Prince (French Language Edition),"Fiction , Classics"
The Owl and the Pussycat,"Juvenile Fiction , Classics"
A Christmas Carol,"Fiction , Classics"
The End of the Battle,"Fiction , Classics"
Prince Caspian (Narnia),"Fiction , Classics"
British Women Writers: An Anthology from the Fourteenth Century to the Present,"Fiction , Classics"
The Story of Ferdinand,"Juvenile Fiction , Classics"
The Bostonians,"Fiction , Classics"
The Jungle Book (Puffin Classics),"Juvenile Fiction , Classics"
The Mayor of Casterbridge (Modern Library Classics),"Fiction , Classics"
Bread and Wine (Signet Classics),"Fiction , Classics"
