Title,Category
Elvis in the Morning,"Fiction , Fantasy , Historical"
White Gold Wielder - Book Three of The Second Chronicles of Thomas Covenant,"Fiction , Fantasy , General"
Daughter of Regals & Other Tales,"Fiction , Fantasy , General"
The Sands of Time: A Hermux Tantamoq Adventure,"Young Adult Fiction , Fantasy , General"
Hope Was Here (Newbery Honor Book),"Young Adult Fiction , Fantasy , General"
Mariel of Redwall,"Young Adult Fiction , Fantasy , General"
Nerilka's Story (Dragonriders of Pern Series),"Fiction , Fantasy , General"
Castaways of the Flying Dutchman,"Young Adult Fiction , Fantasy , General"
American Empire: The Center Cannot Hold,"Fiction , Fantasy , Historical"
Sons of the Dark: Escape - Book #2,"Young Adult Fiction , Fantasy , General"
"The Amulet of Samarkand (The Bartimaeus Trilogy, Book 1)","Young Adult Fiction , Fantasy , General"
The World in Amber,"Fiction , Fantasy , General"
"The Runes of the Earth (The Last Chronicles of Thomas Covenant, Book 1)","Fiction , Fantasy , Epic"
The Bear Went Over the Mountain,"Fiction , Fantasy , General"
"The Angel Experiment (Maximum Ride, Book 1)","Young Adult Fiction , Fantasy , General"
A Wizard Abroad: The Fourth Book in the Young Wizards Series,"Young Adult Fiction , Fantasy , Wizards & Witches"
"Shards of a Broken Crown: Volume IV of the Serpentwar Saga (Serpentwar Saga/Raymond E. Feist, Vol 4)","Fiction , Fantasy , Epic"
Night Blooming,"Fiction , Fantasy , Historical"
"A Century of Fantasy, 1980-1989","Fiction , Fantasy , General"
Rhymes with Witches,"Young Adult Fiction , Fantasy , General"
Liling-Po Volume 1 (Liling-po (Graphic Novel)),"Young Adult Fiction , Fantasy , General"
"Faeries' Landing, Vol.1","Young Adult Fiction , Fantasy , General"
"Lagoon Engine, Vol. 1","Young Adult Fiction , Fantasy , General"
The Light Ages,"Fiction , Fantasy , Historical"
"King of Hell, Book 1","Young Adult Fiction , Fantasy , General"
"Psychic Academy, Vol 1","Young Adult Fiction , Fantasy , General"
"Wild Magic: Book Two Of Fool's Gold (Fools Gold, 2)","Fiction , Fantasy , General"
A Wizard Alone: The Sixth Book in the Young Wizards Series,"Young Adult Fiction , Fantasy , Wizards & Witches"
Restoration: A Novel of Seventeenth-Century England (Tie-In Edition),"Fiction , Fantasy , Epic"
"Darknesses (Corean Chronicles, Book 2)","Fiction , Fantasy , Epic"
"Silverhand (The Arcana, Book 1)","Fiction , Fantasy , General"
"Out of Phaze (Apprentice Adept, Book 4)","Fiction , Fantasy , General"
If Love Were All: A Novel,"Fiction , Romance , Fantasy"
The Elf Queen of Shannara (The Heritage of Shannara #3),"Fiction , Fantasy , Epic"
Time Stops for No Mouse: A Hermux Tantamoq Adventure,"Young Adult Fiction , Fantasy , General"
Rose's Garden: A Novel,"Fiction , Fantasy , General"
Wolf Star: The Claidi Journals II (Claidi Journals (Paperback)),"Young Adult Fiction , Fantasy , General"
"The Bone Doll's Twin (Tamir Trilogy, Book 1)","Fiction , Fantasy , Epic"
Conqueror's Moon (Boreal Moon Tale),"Fiction , Fantasy , General"
Kingdom of the Grail,"Fiction , Fantasy , Historical"
Wormwood,"Young Adult Fiction , Fantasy , General"
The Prophecy of the Stones: A Novel,"Young Adult Fiction , Fantasy , General"
Goddess of the Night (Daughters of the Moon 1),"Young Adult Fiction , Fantasy , General"
The Queen's Bastard: A Novel,"Fiction , Fantasy , Historical"
Beyond the Burning Lands (The Swords of the Spirits Trilogy),"Young Adult Fiction , Fantasy , General"
