Title,Category
"Sherlock Holmes and the Red Demon by John H. Watson, M.D.","Fiction , Mystery & Detective , General"
Ride a Pale Horse,"Fiction , Mystery & Detective , General"
Murder at the Pentagon,"Fiction , Mystery & Detective , General"
The 27-Ingredient Chili Con Carne Murders,"Fiction , Mystery & Detective , General"
The Seacoast of Bohemia,"Fiction , Mystery & Detective , General"
Shella,"Fiction , Mystery & Detective , General"
Death Gets a Time-Out (Mommy-Track Mysteries),"Fiction , Mystery & Detective , Women Sleuths"
Wolf in the Shadows (A Sharon Mccone Mystery),"Fiction , Mystery & Detective , General"
The Nominative Case,"Fiction , Mystery & Detective , General"
Bubbles Ablaze,"Fiction , Mystery & Detective , Women Sleuths"
Sky Woman Falling,"Fiction , Mystery & Detective , Hard-Boiled"
The Bottom Line Is Murder (A Viking Novel of Mystery and Suspense),"Fiction , Mystery & Detective , General"
To love a stranger,"Fiction , Mystery & Detective , General"
Cranmer,"Fiction , Mystery & Detective , General"
Whitewater VI,"Fiction , Mystery & Detective , General"
A Still and Icy Silence (Stuart Mallory Mystery Series),"Fiction , Mystery & Detective , General"
Suspicion of Madness,"Fiction , Mystery & Detective , General"
A Samba for Sherlock,"Fiction , Mystery & Detective , General"
Another weeping woman,"Fiction , Mystery & Detective , General"
"Gospel (Harpur & Iles Mysteries, 9) (Book 9)","Fiction , Mystery & Detective , Police Procedural"
Dark Harbor,"Fiction , Mystery & Detective , Women Sleuths"
"Drover and the Designated Hitter (Drover, No 3)","Fiction , Mystery & Detective , General"
Stolen Honey (Ruth Willmarth Mysteries),"Fiction , Mystery & Detective , General"
Fleshmarket Alley,"Fiction , Mystery & Detective , Hard-Boiled"
Hearse of a Different Color,"Fiction , Mystery & Detective , General"
The Butcher of Beverly Hills: A Novel,"Fiction , Mystery & Detective , Women Sleuths"
Houses of Stone,"Fiction , Mystery & Detective , General"
Rumpole on Trial,"Fiction , Mystery & Detective , Hard-Boiled"
Tooth and Nail: A Novel Approach to the New SAT,"Fiction , Mystery & Detective , General"
Parody Murder Case,"Fiction , Mystery & Detective , General"
How to Seduce a Ghost,"Fiction , Mystery & Detective , Women Sleuths"
"Case Histories: A Novel (Jackson Brodie, 1)","Fiction , Mystery & Detective , General"
Lullaby (An 87th Precinct Novel),"Fiction , Mystery & Detective , General"
The American Satan,"Fiction , Mystery & Detective , General"
Misery Loves Maggody: An Arly Hanks Mystery (Maggody),"Fiction , Mystery & Detective , Women Sleuths"
Cruel As the Grave: A Medieval Mystery,"Fiction , Mystery & Detective , General"
The Spirit Caller,"Fiction , Mystery & Detective , Women Sleuths"
Murder on the Gravy Train,"Fiction , Mystery & Detective , General"
Thurber on Crime,"Fiction , Mystery & Detective , General"
Shadows on the Ivy: An Antique Print Mystery (Antique Print Mysteries (Paperback)),"Fiction , Mystery & Detective , Women Sleuths"
Night Game (John Marquez Crime Novels),"Fiction , Mystery & Detective , Hard-Boiled"
C.A.T. Caper,"Fiction , Mystery & Detective , General"
Eight Black Horses,"Fiction , Mystery & Detective , Police Procedural"
The Ballad of Rocky Ruiz,"Fiction , Mystery & Detective , General"
Moody Gets the Blues,"Fiction , Mystery & Detective , Hard-Boiled"
Frogskin and Muttonfat: A Mystery (Thea Barlow Mysteries),"Fiction , Mystery & Detective , Women Sleuths"
The Substitute Victim,"Fiction , Mystery & Detective , General"
Bad Intent: A Maggie MacGowen Mystery,"Fiction , Mystery & Detective , General"
The Best of Rumpole,"Fiction , Mystery & Detective , General"
Snow Man,"Fiction , Mystery & Detective , General"
Gideon's Fog,"Fiction , Mystery & Detective , General"
A Clear Conscience,"Fiction , Mystery & Detective , General"
The Death of an Irish Sea Wolf: A Peter McGarr Mystery,"Fiction , Mystery & Detective , General"
Render Up the Body,"Fiction , Mystery & Detective , Women Sleuths"
Murder Among Neighbors,"Fiction , Mystery & Detective , General"
Shell Game (Kathleen Mallory Novels),"Fiction , Mystery & Detective , General"
Crisscross,"Fiction , Mystery & Detective , Police Procedural"
Murderers' Row,"Fiction , Mystery & Detective , Short Stories"
Little Scarlet: An Easy Rawlins Mystery,"Fiction , Mystery & Detective , Police Procedural"
"The Big Killing (Bruce Medway Mysteries, No. 2)","Fiction , Mystery & Detective , General"
"The Pearl Diver: A Novel (The Rei Shimura Series, 7)","Fiction , Mystery & Detective , General"
"The Pearl Diver (Massey, Sujata)","Fiction , Mystery & Detective , General"
The Winter Queen: A Novel (An Erast Fandorin Mystery),"Fiction , Mystery & Detective , General"
Dark Specter: A novel,"Fiction , Mystery & Detective , General"
Women on the Case,"Fiction , Mystery & Detective , Women Sleuths"
Little Odessa,"Fiction , Mystery & Detective , General"
Death in Lover's Lane: A Henrie O Mystery (Henrie O Mysteries),"Fiction , Mystery & Detective , Women Sleuths"
Murder most irregular: A novel,"Fiction , Mystery & Detective , General"
A Temporary Ghost (A Viking Novel of Mystery and Suspense),"Fiction , Mystery & Detective , General"
Murder in Los Angeles,"Fiction , Mystery & Detective , General"
We Interrupt This Broadcast,"Fiction , Mystery & Detective , Women Sleuths"
The great hotel robbery,"Fiction , Mystery & Detective , General"
Barrier Island,"Fiction , Mystery & Detective , General"
Winter Games: A Mystery,"Fiction , Mystery & Detective , General"
Mrs. Pargeter's Pound of Flesh: A Mrs. Pargeter Mystery,"Fiction , Mystery & Detective , General"
The Cereal Murders: A Culinary Mystery,"Fiction , Mystery & Detective , General"
Come to Grief,"Fiction , Mystery & Detective , General"
The Case of the Murdered MacKenzie,"Fiction , Mystery & Detective , General"
The Gladstone Bag: A Sarah Kelling Mystery,"Fiction , Mystery & Detective , General"
By Blood Possessed,"Fiction , Mystery & Detective , Women Sleuths"
Blue Corn Murders,"Fiction , Mystery & Detective , Women Sleuths"
Hunter's Moon,"Fiction , Mystery & Detective , General"
Out of the Blackout,"Fiction , Mystery & Detective , General"
Nobody Cared for Kate,"Fiction , Mystery & Detective , General"
A Cold Heart: An Alex Delaware Novel,"Fiction , Mystery & Detective , General"
Mum's the Word,"Fiction , Mystery & Detective , General"
