Title,Category
Journey Through Heartsongs,"Poetry , General"
Dark Fields of the Republic: Poems 1991-1995,"Poetry , American , General"
An Atlas of the Difficult World: Poems 1988-1991,"Poetry , American , General"
Loving Thoughts,"Poetry , General"
Sun and Shadow,"Poetry , General"
The Silence Now: New and Uncollected Early Poems,"Poetry , American , General"
Especially for Mothers,"Poetry , Subjects & Themes , Inspirational & Religious"
The Language of Life: A Festival of Poets,"Poetry , General"
Metamorphoses (Oxford World's Classics),"Poetry , European , General"
Words & Quilts: A Selection of Quilt Poems,"Poetry , General"
"Antaeus: No. 69, Fall, 1992","Poetry , American , General"
The Brown Parrots of Providencia,"Poetry , General"
Romantic Shakespeare: Quotes from the Bard on Love and Lovers,"Poetry , English, Irish, Scottish, Welsh"
King Solomon's Garden: Poems and Art Inspired by the Old Testament,"Poetry , General"
Yowl: Selected Poems About Cats,"Poetry , General"
My Poetic Reflections on Life,"Poetry , American , General"
The Best American Poetry 2000,"Poetry , Anthologies (multiple authors)"
"I Love You, Mom: A Collection of Poems","Poetry , Subjects & Themes , Inspirational & Religious"
"Thoughts to Share With a Wonderful Son: A Collection from Blue Mountain Arts (""the Language of ..."" Series)","Literary Criticism , Poetry"
The Best of the Best American Poetry: 1988-1997 (American Poetry Series),"Poetry , General"
Spoon River Anthology,"Poetry , General"
The Traveler's Calendar,"Poetry , American , General"
Honest Water (Wesleyan Poetry Series),"Poetry , General"
Eight American Poets,"Poetry , Anthologies (multiple authors)"
"Looking Back, Going Forward: New and Selected Poems","Poetry , American , General"
Ladies First: Rhymes & Times of the Presidents' Wives & Other Female Fantasies,"Poetry , General"
On Hogback Mountain,"Poetry , General"
A Boy Aware: On Being Fifteen : The Selected Poems,"Poetry , Inspirational & Religious"
The Yale Younger Poets Anthology (Yale Series of Younger Poets),"Poetry , Anthologies (multiple authors)"
Heartsongs,"Poetry , Subjects & Themes , Inspirational & Religious"
The Best American Poetry 1995,"Poetry , Anthologies (multiple authors)"
The Best American Poetry 1997,"Poetry , Anthologies (multiple authors)"
Yours If You Ask,"Poetry , General"
The Norton Book of Light Verse,"Poetry , Anthologies (multiple authors)"
A Night Without Armor: Poems,"Poetry , American , General"
Step Lightly: Poems for the Journey,"Young Adult Nonfiction , Poetry"
The Long Reach: New and Uncollected Poems 1948-1984,"Poetry , American , General"
Thoughts of Love: A Blue Mountain Arts Collection,"Poetry , American , General"
Six American Poets: An Anthology,"Poetry , Anthologies (multiple authors)"
The Unseen Hand and Other Plays,"Poetry , General"
Reach Out for Your Dreams,"Poetry , General"
Living on Fire: A Collection of Poems,"Poetry , American , General"
Joyful Noise: Poems for Two Voices,"Juvenile Nonfiction , Poetry , General"
Sound the Deep Waters: Women's Romantic Poetry in the Victorian Age,"Poetry , General"
Sonnets from the Portuguese,"Poetry , European , English, Irish, Scottish, Welsh"
Journey Through Heartsongs,"Poetry , Subjects & Themes , Inspirational & Religious"
"Christmas Poems, Stories, & Carols","Poetry , Inspirational & Religious"
Promised Lands,"Poetry , General"
Plays: At Home and Abroad,"Poetry , General"
The Best American Poetry 2002,"Poetry , Anthologies (multiple authors)"
Unlocked Dreams: A Collection of Poems,"Poetry , General"
Kiss of God: The Wisdom of a Silent Child,"Poetry , American , General"
"Life Can Be Hard Sometimes, But It's Going to Be Okay: A Collection of Poems (Self-Help)","Poetry , Anthologies (multiple authors)"
The Iliad (Wordsworth Classics),"Poetry , European , General"
Sisters Are Special,"Poetry , General"
Introduction to French Poetry (Dual-Language) (English and French Edition),"Poetry , European , General"
Carl Sandburg: Selected Poems,"Poetry , American , General"
Is It Time To Make A Change?: Positive Thoughts for When Life Presents You With a New Direction - Special Edition (Self-Help & Recovery),"Poetry , General"
With God By Your Side You Never Have To Be Alone: A Blue Mountain Arts Collection,"Poetry , Subjects & Themes , Inspirational & Religious"
Opening The Invitation: The Poem That Has Touched Lives Around the World,"Poetry , Subjects & Themes , Inspirational & Religious"
Chasing Down the Dawn,"Poetry , General"
The Prize: A Collection of Stories,"Poetry , American , General"
A More Perfect Union: Poems and Stories about the Modern Wedding,"Poetry , Anthologies (multiple authors)"
Love an Experience of ...,"Poetry , Subjects & Themes , Inspirational & Religious"
Horses Make a Landscape Look More Beautiful,"Poetry , American , General"
Jersey Rain,"Literary Criticism , Poetry"
Against the Meanwhile: 3 Elegies (Wesleyan Poetry Series),"Poetry , General"
It Isn't Always Easy,"Poetry , General"
"What Little Girls Are Made Of: Sugar, Spice, and Everything Nice","Juvenile Nonfiction , Poetry , General"
Poems That Live Forever,"Poetry , European , English, Irish, Scottish, Welsh"
The Best of Robert Service,"Poetry , American , General"
The Figured Wheel,"Poetry , American , General"
Aeneid (Wordsworth Classics),"Poetry , Continental European"
Sacred Elephant,"Poetry , European , English, Irish, Scottish, Welsh"
42 Gifts I'd Like to Give to You: A Guidebook of Wonderful Thoughts to Carry Along on Your Journey Through Life,"Poetry , Anthologies (multiple authors)"
"For You, Just Because You're Very Special To Me: For someone who deserves to know how wonderful they are","Poetry , American , General"
Marriage Is a Promise of Love: A Collection of Poems,"Poetry , American , General"
Wild Card,"Poetry , General"
Always Follow Your Dreams: Wherever They Lead You (Blue Mountain Arts Collection),"Poetry , General"
Heartsongs,"Poetry , Subjects & Themes , Inspirational & Religious"
The Works of Matthew Arnold,"Poetry , General"
The Best Loved Poems of Jacqueline Kennedy-Onassis,"Poetry , Ancient & Classical"
Hope Through Heartsongs,"Poetry , Subjects & Themes , Inspirational & Religious"
Committed to Memory: 100 Best Poems to Memorize,"Poetry , General"
The Headless Bust: A Melancholy Meditation for the False Millennium,"Poetry , American , General"
"Autumn Travels, Devious Paths: Poetry and Prose","Poetry , General"
The Road Not Taken (Owl Books),"Poetry , American , General"
Bartlett's Poems for Occasions,"Poetry , Anthologies (multiple authors)"
Art & Love: An Illustrated Anthology of Love Poetry,"Poetry , Anthologies (multiple authors)"
The Columbia Book of Civil War Poetry: From Whitman to Walcott,"Poetry , General"
Memoranda During the War,"Literary Criticism , Poetry"
Poems To Live By in Uncertain Times,"Poetry , Anthologies (multiple authors)"
Sonnets from the Portuguese and Other Poems (Dover Thrift Editions),"Poetry , Subjects & Themes , Love & Erotica"
Still Swingin': New and selected poems from These Hips,"Poetry , General"
Ants on the Melon: A Collection of Poems,"Poetry , American , General"
Full Court Press,"Poetry , General"
Double Helix,"Poetry , American , General"
The Post-Rapture Diner (Pitt Poetry Series),"Poetry , American , General"
Sacred Voices: Women of Genesis Speak,"Poetry , Subjects & Themes , Inspirational & Religious"
War Is Kind and Other Poems (Dover Thrift Editions),"Poetry , European , English, Irish, Scottish, Welsh"
Blossoms of Friendship,"Poetry , General"
ShrinkLits: Seventy of the World's Towering Classics Cut Down to Size,"Poetry , American , General"
The Habit of Fire: Selected & New (Capital Collection),"Poetry , General"
Gold Cell (Knopf Poetry Series),"Poetry , American , General"
Roman Epistle,"Poetry , General"
Someone Going Home Late,"Poetry , American , General"
The Rubáyát of Omar Khayyám : First and Fifth Editions (Dover Thrift Editions),"Poetry , Middle Eastern"
View with a Grain of Sand: Selected Poems,"Poetry , European , General"
The Poet's Handbook,"Poetry , General"
Sleeping on the Wing: An Anthology of Modern Poetry with Essays on Reading and Writing,"Poetry , General"
