Title,Category
The Sands of Time: A Hermux Tantamoq Adventure,"Young Adult Fiction , Fantasy , General"
In the Shadow of the Ark,"Young Adult Fiction , Religious , General"
The Supernaturalist,"Young Adult Fiction , Science Fiction , General"
Hope Was Here (Newbery Honor Book),"Young Adult Fiction , Fantasy , General"
Mariel of Redwall,"Young Adult Fiction , Fantasy , General"
Parrot in the Oven: Mi vida (Cover May Vary),"Young Adult Fiction , Classics"
A Separate Peace with Connections (HRW Library),"Young Adult Fiction , General"
Doing It,"Young Adult Fiction , Social Themes , Emotions & Feelings"
Prep (Junior Library Guild Selection),"Young Adult Fiction , Social Themes , Friendship"
This Lullaby,"Young Adult Fiction , Social Themes , Friendship"
Dr Jekyll and Mr Hyde and Weir of Hermiston (Oxford World's Classics),"Young Adult Fiction , Horror"
Lincoln and Slavery,"Young Adult Fiction , Historical , United States , General"
Castaways of the Flying Dutchman,"Young Adult Fiction , Fantasy , General"
Born Blue,"Young Adult Fiction , Social Themes , Emotions & Feelings"
NBA Basketball Offense Basics,"Young Adult Fiction , General"
"Beware, Princess Elizabeth: A Young Royals Book (Young Royals, 2)","Young Adult Fiction , Historical , Europe"
In the Chat Room With God,"Young Adult Fiction , Religious , General"
Sons of the Dark: Escape - Book #2,"Young Adult Fiction , Fantasy , General"
Postcards from No Man's Land (Carnegie Medal Winner),"Young Adult Fiction , Historical , Europe"
Back in Black: An A-List Novel,"Young Adult Fiction , Girls & Women"
The Body of Christopher Creed,"Young Adult Fiction , Mysteries & Detective Stories"
"The Amulet of Samarkand (The Bartimaeus Trilogy, Book 1)","Young Adult Fiction , Fantasy , General"
The Supernaturalist,"Young Adult Fiction , Science Fiction , General"
Playing in Traffic,"Young Adult Fiction , Family , General"
"Gossip Girl: Nobody Does It Better: A Gossip Girl Novel (Gossip Girl, 7)","Young Adult Fiction , School & Education , Boarding School & Prep School"
Planet Janet In Orbit,"Young Adult Fiction , School & Education , General"
Cirque du Freak: A Living Nightmare,"Young Adult Fiction , Horror"
"Cirque du Freak: Vampire Mountain (Book Four) (Cirque Du Freak, 4)","Young Adult Fiction , Horror"
"The Angel Experiment (Maximum Ride, Book 1)","Young Adult Fiction , Fantasy , General"
Shades of Gray,"Young Adult Fiction , Historical , United States , General"
Who Put That Hair in My Toothbrush?,"Young Adult Fiction , Family , Siblings"
"On the Bright Side, I'm Now the Girlfriend of a Sex God (Further Confessions of Georgia Nicolson)","Young Adult Fiction , Humorous , General"
The Mirror of Merlin,"Young Adult Fiction , Legends, Myths, Fables , Arthurian"
Amazing Grace,"Young Adult Fiction , Romance , General"
Spy High Mission Two: Chaos Rising (Spy High (Little Brown and Company)),"Young Adult Fiction , Action & Adventure , General"
Pass It On: An Insiders Novel,"Young Adult Fiction , Social Themes , Friendship"
Getting The Girl,"Young Adult Fiction , Family , Siblings"
"The Dating Game (The Dating Game, 1)","Young Adult Fiction , Social Themes , Dating & Sex"
"You Know You Love Me: A Gossip Girl Novel (Gossip Girl, 2)","Young Adult Fiction , School & Education , Boarding School & Prep School"
Zach's Lie,"Young Adult Fiction , Family , Parents"
The Clique,"Young Adult Fiction , Girls & Women"
Holes (Holes Series),"Young Adult Fiction , Social Themes , Friendship"
Rama: A Legend,"Young Adult Fiction , People & Places , United States , General"
"Surrendered Heart (Payton Skky Series, 5) (Volume 5)","Young Adult Fiction , Religious , Christian , General"
A Wizard Abroad: The Fourth Book in the Young Wizards Series,"Young Adult Fiction , Fantasy , Wizards & Witches"
Dancing in My Nuddy-Pants: Even Further Confessions of Georgia Nicolson,"Young Adult Fiction , Humorous , General"
Under the Sun,"Young Adult Fiction , Historical , Military & Wars"
Son of the Mob (Son of the Mob (Paperback)),"Young Adult Fiction , Family , General"
At the Crossing-places (Arthur),"Young Adult Fiction , Legends, Myths, Fables , General"
Confessions of a Teenage Drama Queen,"Young Adult Fiction , Media Tie-In"
Rhymes with Witches,"Young Adult Fiction , Fantasy , General"
Sorceress (Witch Child),"Young Adult Fiction , Historical , United States , Colonial & Revolutionary Periods"
Z for Zachariah,"Young Adult Fiction , Mysteries & Detective Stories"
"Chronicles of the Cursed Sword, Vol. 7","Young Adult Fiction , Comics & Graphic Novels , Manga"
Liling-Po Volume 1 (Liling-po (Graphic Novel)),"Young Adult Fiction , Fantasy , General"
".hack//Legend of the Twilight, Vol. 2","Young Adult Fiction , Comics & Graphic Novels , Manga"
"Rebirth, Vol. 1","Young Adult Fiction , Comics & Graphic Novels , Manga"
"Faeries' Landing, Vol.1","Young Adult Fiction , Fantasy , General"
"Lagoon Engine, Vol. 1","Young Adult Fiction , Fantasy , General"
Neck and Neck Volume 1,"Young Adult Fiction , Comics & Graphic Novels , Manga"
"Gravitation, Book 5","Young Adult Fiction , Comics & Graphic Novels , Manga"
